"","site.name","Species","SizeClass","N_colonies","Density_m2"
"1","S11","P. acuta","0-2cm",13,0.173333333333333
"2","S11","P. effusa","0-2cm",2,0.0266666666666667
"3","S11","P. effusa",">2cm-5cm",3,0.04
"4","S11","P. grandis","0-2cm",1,0.0133333333333333
"5","S11","P. grandis",">5cm-14cm",7,0.0933333333333333
"6","S11","P. grandis",">14cm",7,0.0933333333333333
"7","S11","P. meandrina","0-2cm",42,0.56
"8","S11","P. meandrina",">2cm-5cm",9,0.12
"9","S11","P. meandrina",">5cm-14cm",38,0.506666666666667
"10","S11","P. meandrina",">14cm",16,0.213333333333333
"11","S11","P. tuahiniensis","0-2cm",3,0.04
"12","S11","P. tuahiniensis",">2cm-5cm",2,0.0266666666666667
"13","S11","P. tuahiniensis",">5cm-14cm",1,0.0133333333333333
"14","S11","P. tuahiniensis",">14cm",7,0.0933333333333333
"15","S11","P. verrucosa","0-2cm",4,0.0533333333333333
"16","S11","P. verrucosa",">2cm-5cm",3,0.04
"17","S11","P. verrucosa",">5cm-14cm",3,0.04
"18","S11","P. verrucosa",">14cm",7,0.0933333333333333
"19","S12","P. acuta","0-2cm",12,0.16
"20","S12","P. acuta",">2cm-5cm",3,0.04
"21","S12","P. acuta",">14cm",1,0.0133333333333333
"22","S12","P. effusa","0-2cm",3,0.04
"23","S12","P. effusa",">2cm-5cm",4,0.0533333333333333
"24","S12","P. effusa",">5cm-14cm",1,0.0133333333333333
"25","S12","P. effusa",">14cm",1,0.0133333333333333
"26","S12","P. grandis","0-2cm",8,0.106666666666667
"27","S12","P. grandis",">2cm-5cm",11,0.146666666666667
"28","S12","P. grandis",">5cm-14cm",5,0.0666666666666667
"29","S12","P. grandis",">14cm",14,0.186666666666667
"30","S12","P. meandrina","0-2cm",54,0.72
"31","S12","P. meandrina",">2cm-5cm",17,0.226666666666667
"32","S12","P. meandrina",">5cm-14cm",27,0.36
"33","S12","P. meandrina",">14cm",47,0.626666666666667
"34","S12","P. tuahiniensis","0-2cm",1,0.0133333333333333
"35","S12","P. tuahiniensis",">2cm-5cm",2,0.0266666666666667
"36","S12","P. tuahiniensis",">5cm-14cm",2,0.0266666666666667
"37","S12","P. tuahiniensis",">14cm",12,0.16
"38","S12","P. verrucosa","0-2cm",1,0.0133333333333333
"39","S12","P. verrucosa",">2cm-5cm",1,0.0133333333333333
"40","S12","P. verrucosa",">5cm-14cm",4,0.0533333333333333
"41","S12","P. verrucosa",">14cm",11,0.146666666666667
"42","S14","P. acuta","0-2cm",6,0.08
"43","S14","P. acuta",">2cm-5cm",5,0.0666666666666667
"44","S14","P. acuta",">5cm-14cm",2,0.0266666666666667
"45","S14","P. effusa","0-2cm",3,0.04
"46","S14","P. effusa",">2cm-5cm",10,0.133333333333333
"47","S14","P. effusa",">5cm-14cm",3,0.04
"48","S14","P. effusa",">14cm",2,0.0266666666666667
"49","S14","P. grandis","0-2cm",4,0.0533333333333333
"50","S14","P. grandis",">2cm-5cm",1,0.0133333333333333
"51","S14","P. grandis",">5cm-14cm",2,0.0266666666666667
"52","S14","P. grandis",">14cm",21,0.28
"53","S14","P. meandrina","0-2cm",44,0.586666666666667
"54","S14","P. meandrina",">2cm-5cm",26,0.346666666666667
"55","S14","P. meandrina",">5cm-14cm",44,0.586666666666667
"56","S14","P. meandrina",">14cm",75,1
"57","S14","P. tuahiniensis","0-2cm",2,0.0266666666666667
"58","S14","P. tuahiniensis",">2cm-5cm",2,0.0266666666666667
"59","S14","P. tuahiniensis",">5cm-14cm",2,0.0266666666666667
"60","S14","P. tuahiniensis",">14cm",13,0.173333333333333
"61","S14","P. verrucosa",">2cm-5cm",4,0.0533333333333333
"62","S14","P. verrucosa",">5cm-14cm",8,0.106666666666667
"63","S14","P. verrucosa",">14cm",18,0.24
"64","S15","P. acuta","0-2cm",9,0.12
"65","S15","P. acuta",">2cm-5cm",1,0.0133333333333333
"66","S15","P. effusa","0-2cm",3,0.04
"67","S15","P. effusa",">2cm-5cm",3,0.04
"68","S15","P. effusa",">5cm-14cm",1,0.0133333333333333
"69","S15","P. grandis","0-2cm",8,0.106666666666667
"70","S15","P. grandis",">2cm-5cm",2,0.0266666666666667
"71","S15","P. grandis",">5cm-14cm",3,0.04
"72","S15","P. grandis",">14cm",6,0.08
"73","S15","P. meandrina","0-2cm",59,0.786666666666667
"74","S15","P. meandrina",">2cm-5cm",18,0.24
"75","S15","P. meandrina",">5cm-14cm",39,0.52
"76","S15","P. meandrina",">14cm",46,0.613333333333333
"77","S15","P. tuahiniensis","0-2cm",8,0.106666666666667
"78","S15","P. tuahiniensis",">2cm-5cm",4,0.0533333333333333
"79","S15","P. tuahiniensis",">5cm-14cm",7,0.0933333333333333
"80","S15","P. tuahiniensis",">14cm",22,0.293333333333333
"81","S15","P. verrucosa","0-2cm",2,0.0266666666666667
"82","S15","P. verrucosa",">5cm-14cm",8,0.106666666666667
"83","S15","P. verrucosa",">14cm",18,0.24
"84","S18","P. acuta","0-2cm",4,0.0533333333333333
"85","S18","P. acuta",">2cm-5cm",7,0.0933333333333333
"86","S18","P. acuta",">14cm",1,0.0133333333333333
"87","S18","P. effusa","0-2cm",2,0.0266666666666667
"88","S18","P. effusa",">2cm-5cm",6,0.08
"89","S18","P. grandis",">2cm-5cm",1,0.0133333333333333
"90","S18","P. grandis",">5cm-14cm",3,0.04
"91","S18","P. grandis",">14cm",7,0.0933333333333333
"92","S18","P. meandrina","0-2cm",15,0.2
"93","S18","P. meandrina",">2cm-5cm",11,0.146666666666667
"94","S18","P. meandrina",">5cm-14cm",28,0.373333333333333
"95","S18","P. meandrina",">14cm",15,0.2
"96","S18","P. tuahiniensis","0-2cm",1,0.0133333333333333
"97","S18","P. tuahiniensis",">2cm-5cm",3,0.04
"98","S18","P. tuahiniensis",">5cm-14cm",1,0.0133333333333333
"99","S18","P. tuahiniensis",">14cm",7,0.0933333333333333
"100","S18","P. verrucosa",">2cm-5cm",1,0.0133333333333333
"101","S18","P. verrucosa",">5cm-14cm",4,0.0533333333333333
"102","S18","P. verrucosa",">14cm",3,0.04
"103","S2","P. acuta","0-2cm",1,0.0133333333333333
"104","S2","P. acuta",">2cm-5cm",2,0.0266666666666667
"105","S2","P. effusa","0-2cm",20,0.266666666666667
"106","S2","P. effusa",">2cm-5cm",36,0.48
"107","S2","P. effusa",">5cm-14cm",8,0.106666666666667
"108","S2","P. effusa",">14cm",3,0.04
"109","S2","P. grandis","0-2cm",17,0.226666666666667
"110","S2","P. grandis",">2cm-5cm",6,0.08
"111","S2","P. grandis",">5cm-14cm",2,0.0266666666666667
"112","S2","P. grandis",">14cm",2,0.0266666666666667
"113","S2","P. meandrina","0-2cm",92,1.22666666666667
"114","S2","P. meandrina",">2cm-5cm",39,0.52
"115","S2","P. meandrina",">5cm-14cm",7,0.0933333333333333
"116","S2","P. meandrina",">14cm",7,0.0933333333333333
"117","S2","P. tuahiniensis","0-2cm",10,0.133333333333333
"118","S2","P. tuahiniensis",">2cm-5cm",6,0.08
"119","S2","P. tuahiniensis",">5cm-14cm",3,0.04
"120","S2","P. tuahiniensis",">14cm",2,0.0266666666666667
"121","S2","P. verrucosa",">2cm-5cm",1,0.0133333333333333
"122","S2","P. verrucosa",">14cm",1,0.0133333333333333
"123","S3","P. acuta","0-2cm",2,0.0266666666666667
"124","S3","P. acuta",">2cm-5cm",2,0.0266666666666667
"125","S3","P. effusa","0-2cm",1,0.0133333333333333
"126","S3","P. effusa",">2cm-5cm",13,0.173333333333333
"127","S3","P. effusa",">5cm-14cm",2,0.0266666666666667
"128","S3","P. grandis","0-2cm",2,0.0266666666666667
"129","S3","P. grandis",">2cm-5cm",4,0.0533333333333333
"130","S3","P. grandis",">5cm-14cm",3,0.04
"131","S3","P. grandis",">14cm",2,0.0266666666666667
"132","S3","P. meandrina","0-2cm",9,0.12
"133","S3","P. meandrina",">2cm-5cm",16,0.213333333333333
"134","S3","P. meandrina",">5cm-14cm",7,0.0933333333333333
"135","S3","P. meandrina",">14cm",1,0.0133333333333333
"136","S3","P. tuahiniensis",">2cm-5cm",2,0.0266666666666667
"137","S3","P. tuahiniensis",">5cm-14cm",1,0.0133333333333333
"138","S3","P. tuahiniensis",">14cm",2,0.0266666666666667
"139","S3","P. verrucosa","0-2cm",1,0.0133333333333333
"140","S3","P. verrucosa",">5cm-14cm",1,0.0133333333333333
"141","S3","P. verrucosa",">14cm",4,0.0533333333333333
"142","S4","P. acuta","0-2cm",1,0.0133333333333333
"143","S4","P. effusa","0-2cm",6,0.08
"144","S4","P. grandis","0-2cm",1,0.0133333333333333
"145","S4","P. grandis",">5cm-14cm",2,0.0266666666666667
"146","S4","P. grandis",">14cm",1,0.0133333333333333
"147","S4","P. meandrina","0-2cm",5,0.0666666666666667
"148","S4","P. meandrina",">2cm-5cm",10,0.133333333333333
"149","S4","P. meandrina",">5cm-14cm",18,0.24
"150","S4","P. meandrina",">14cm",5,0.0666666666666667
"151","S4","P. tuahiniensis","0-2cm",1,0.0133333333333333
"152","S4","P. tuahiniensis",">2cm-5cm",1,0.0133333333333333
"153","S4","P. tuahiniensis",">5cm-14cm",3,0.04
"154","S4","P. tuahiniensis",">14cm",5,0.0666666666666667
"155","S4","P. verrucosa",">2cm-5cm",1,0.0133333333333333
"156","S4","P. verrucosa",">5cm-14cm",5,0.0666666666666667
"157","S4","P. verrucosa",">14cm",4,0.0533333333333333
"158","S5","P. acuta","0-2cm",8,0.106666666666667
"159","S5","P. acuta",">2cm-5cm",3,0.04
"160","S5","P. effusa","0-2cm",32,0.426666666666667
"161","S5","P. effusa",">2cm-5cm",41,0.546666666666667
"162","S5","P. effusa",">5cm-14cm",7,0.0933333333333333
"163","S5","P. grandis","0-2cm",18,0.24
"164","S5","P. grandis",">2cm-5cm",13,0.173333333333333
"165","S5","P. grandis",">5cm-14cm",2,0.0266666666666667
"166","S5","P. grandis",">14cm",6,0.08
"167","S5","P. meandrina","0-2cm",46,0.613333333333333
"168","S5","P. meandrina",">2cm-5cm",50,0.666666666666667
"169","S5","P. meandrina",">5cm-14cm",41,0.546666666666667
"170","S5","P. meandrina",">14cm",15,0.2
"171","S5","P. tuahiniensis","0-2cm",12,0.16
"172","S5","P. tuahiniensis",">2cm-5cm",8,0.106666666666667
"173","S5","P. tuahiniensis",">5cm-14cm",10,0.133333333333333
"174","S5","P. tuahiniensis",">14cm",10,0.133333333333333
"175","S5","P. verrucosa","0-2cm",3,0.04
"176","S5","P. verrucosa",">2cm-5cm",4,0.0533333333333333
"177","S5","P. verrucosa",">5cm-14cm",6,0.08
"178","S5","P. verrucosa",">14cm",11,0.146666666666667
"179","S6","P. acuta","0-2cm",1,0.0133333333333333
"180","S6","P. effusa","0-2cm",4,0.0533333333333333
"181","S6","P. effusa",">2cm-5cm",1,0.0133333333333333
"182","S6","P. effusa",">5cm-14cm",1,0.0133333333333333
"183","S6","P. effusa",">14cm",1,0.0133333333333333
"184","S6","P. grandis","0-2cm",15,0.2
"185","S6","P. grandis",">2cm-5cm",5,0.0666666666666667
"186","S6","P. grandis",">5cm-14cm",1,0.0133333333333333
"187","S6","P. meandrina","0-2cm",60,0.8
"188","S6","P. meandrina",">2cm-5cm",15,0.2
"189","S6","P. meandrina",">5cm-14cm",5,0.0666666666666667
"190","S6","P. meandrina",">14cm",6,0.08
"191","S6","P. tuahiniensis","0-2cm",6,0.08
"192","S6","P. tuahiniensis",">2cm-5cm",2,0.0266666666666667
"193","S6","P. tuahiniensis",">5cm-14cm",1,0.0133333333333333
"194","S6","P. tuahiniensis",">14cm",2,0.0266666666666667
"195","S6","P. verrucosa","0-2cm",3,0.04
"196","S6","P. verrucosa",">2cm-5cm",2,0.0266666666666667
"197","S6","P. verrucosa",">14cm",5,0.0666666666666667
"198","S9","P. acuta","0-2cm",5,0.0666666666666667
"199","S9","P. acuta",">2cm-5cm",1,0.0133333333333333
"200","S9","P. effusa","0-2cm",5,0.0666666666666667
"201","S9","P. effusa",">2cm-5cm",17,0.226666666666667
"202","S9","P. effusa",">5cm-14cm",2,0.0266666666666667
"203","S9","P. grandis","0-2cm",11,0.146666666666667
"204","S9","P. grandis",">2cm-5cm",8,0.106666666666667
"205","S9","P. grandis",">5cm-14cm",2,0.0266666666666667
"206","S9","P. meandrina","0-2cm",99,1.32
"207","S9","P. meandrina",">2cm-5cm",34,0.453333333333333
"208","S9","P. meandrina",">5cm-14cm",7,0.0933333333333333
"209","S9","P. meandrina",">14cm",1,0.0133333333333333
"210","S9","P. tuahiniensis","0-2cm",8,0.106666666666667
"211","S9","P. tuahiniensis",">2cm-5cm",5,0.0666666666666667
"212","S9","P. tuahiniensis",">5cm-14cm",5,0.0666666666666667
"213","S9","P. tuahiniensis",">14cm",2,0.0266666666666667
"214","S9","P. verrucosa","0-2cm",3,0.04
"215","S9","P. verrucosa",">5cm-14cm",2,0.0266666666666667
